Path,CarProfile,Velocity,Translation,Rotation,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,Max_Z_Acceleration,Min_Z_Acceleration,Max_Z_Acceleration_Index,Min_Z_Acceleration_Index
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=400_rot=90_pos=initial.txt,SUV,100,400,90,98.844,189.874,19.411,98.844,-11.198,72,294
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-200_rot=0_pos=initial.txt,SUV,20,-200,0,61.045,15.63,21.672,61.045,-10.408,53,29
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-200_rot=120_pos=initial.txt,SUV,20,-200,120,87.814,161.603,71.296,87.814,-47.144,92,120
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-200_rot=150_pos=initial.txt,SUV,20,-200,150,36.125,14.455,15.208,36.125,-5.844,67,210
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-200_rot=180_pos=initial.txt,SUV,20,-200,180,130.701,65.562,178.988,130.701,-62.145,54,219
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-200_rot=210_pos=initial.txt,SUV,20,-200,210,38.01,110.817,25.862,38.01,-31.619,41,95
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-200_rot=240_pos=initial.txt,SUV,20,-200,240,55.167,130.523,13.235,55.167,-31.688,38,84
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-200_rot=270_pos=initial.txt,SUV,20,-200,270,89.043,177.906,5.084,89.043,-75.694,37,79
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-200_rot=300_pos=initial.txt,SUV,20,-200,300,70.695,131.645,38.152,70.695,-33.792,80,82
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-200_rot=30_pos=initial.txt,SUV,20,-200,30,47.402,38.102,28.031,47.402,-9.105,120,32
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-200_rot=330_pos=initial.txt,SUV,20,-200,330,40.367,93.119,29.227,40.367,-13.131,27,121
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-200_rot=60_pos=initial.txt,SUV,20,-200,60,84.41,201.284,66.049,84.41,-9.441,93,227
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-200_rot=90_pos=initial.txt,SUV,20,-200,90,135.279,226.282,7.889,135.279,-36.322,102,106
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-400_rot=0_pos=initial.txt,SUV,20,-400,0,89.172,26.61,40.762,89.172,-6.237,41,182
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-400_rot=120_pos=initial.txt,SUV,20,-400,120,77.47,134.645,79.864,77.47,-8.189,94,30
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-400_rot=150_pos=initial.txt,SUV,20,-400,150,30.371,24.473,24.414,30.371,-6.39,71,266
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-400_rot=210_pos=initial.txt,SUV,20,-400,210,39.752,105.305,17.564,39.752,-17.709,43,94
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-400_rot=240_pos=initial.txt,SUV,20,-400,240,63.706,132.966,17.59,63.706,-39.281,41,81
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-400_rot=270_pos=initial.txt,SUV,20,-400,270,80.455,201.035,15.951,80.455,-46.683,40,83
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-400_rot=300_pos=initial.txt,SUV,20,-400,300,57.441,105.496,57.768,57.441,-24.862,83,108
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-400_rot=30_pos=initial.txt,SUV,20,-400,30,45.786,17.706,27.006,45.786,-8.483,68,33
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-400_rot=330_pos=initial.txt,SUV,20,-400,330,37.121,71.336,35.233,37.121,-10.598,42,131
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-400_rot=60_pos=initial.txt,SUV,20,-400,60,89.919,189.695,46.568,89.919,-9.719,94,52
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-400_rot=90_pos=initial.txt,SUV,20,-400,90,123.888,210.956,15.267,123.888,-38.736,90,106
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=0_rot=0_pos=initial.txt,SUV,20,0,0,60.115,48.324,181.165,60.115,-13.961,52,28
