,Path,CarProfile,Velocity,Translation,Rotation,Position,HIC15_max,HIC36_max,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,BrIC_abs_max,Chest_Resultant_Acceleration_max,Chest_Resultant_Acceleration_CLIP3ms_max
509,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=0_rot=240_pos=initial.txt,MPV,60,0,240,initial,61438.895,61438.895,162.443,1822.227,80.778,2.153,92.931,45.257
510,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=0_rot=270_pos=initial.txt,MPV,60,0,270,initial,26492.183,26492.183,229.524,1421.297,59.733,1.388,71.714,41.863
511,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=0_rot=300_pos=initial.txt,MPV,60,0,300,initial,15182.081,15182.081,143.244,788.382,91.442,2.229,97.472,49.94
512,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=0_rot=30_pos=initial.txt,MPV,60,0,30,initial,5755.799,5755.799,257.628,417.368,96.783,1.098,75.976,34.543
513,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=0_rot=330_pos=initial.txt,MPV,60,0,330,initial,12634.002,12634.002,181.596,839.968,86.214,1.687,115.286,52.368
514,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=0_rot=60_pos=initial.txt,MPV,60,0,60,initial,78822.18,78822.18,1159.025,1125.428,136.998,1.851,183.905,47.25
515,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=0_rot=90_pos=initial.txt,MPV,60,0,90,initial,90946.701,90946.701,716.845,1803.326,85.517,1.95,350.121,78.832
516,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=200_rot=0_pos=initial.txt,MPV,60,200,0,initial,94.828,122.619,37.715,14.749,40.44,0.944,47.505,33.366
517,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=200_rot=120_pos=initial.txt,MPV,60,200,120,initial,55998.218,55998.218,482.714,1454.104,151.813,1.798,257.991,79.975
518,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=200_rot=150_pos=initial.txt,MPV,60,200,150,initial,6584.044,6584.044,309.347,363.687,108.576,1.104,87.581,40.484
519,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=200_rot=180_pos=initial.txt,MPV,60,200,180,initial,103.462,138.528,39.019,17.225,39.985,1.027,39.373,30.656
520,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=200_rot=210_pos=initial.txt,MPV,60,200,210,initial,14234.004,14234.004,222.867,818.962,101.992,1.681,104.099,44.945
521,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=200_rot=240_pos=initial.txt,MPV,60,200,240,initial,52499.016,52499.016,91.729,1641.198,73.742,2.053,59.814,48.556
