Id,Path,CarProfile,Velocity,Translation,Rotation,GifPath,Head_Collision_XYZ_index,Head_Collision_X,Head_Collision_Y,Head_Collision_Z,Front_Height,Hood_Front_Width,Hood_Back_Width,Hood_Length,Hood_Angle,Windscreen_Length,Windscreen_Angle
68,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=90_pos=initial.txt,FCR,20,-200,90,,107,150.595,-133.411,1019.428,770,1160,1460,1070,11.0,816,30
69,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=0_pos=initial.txt,FCR,20,-400,0,,147,762.318,-461.885,996.446,770,1160,1460,1070,11.0,816,30
70,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=120_pos=initial.txt,FCR,20,-400,120,,117,186.48,-379.647,1037.056,770,1160,1460,1070,11.0,816,30
71,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=150_pos=initial.txt,FCR,20,-400,150,,133,364.284,-472.746,1041.975,770,1160,1460,1070,11.0,816,30
72,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=180_pos=initial.txt,FCR,20,-400,180,,187,1231.905,-355.872,998.432,770,1160,1460,1070,11.0,816,30
73,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=210_pos=initial.txt,FCR,20,-400,210,,116,250.054,-241.869,1019.089,770,1160,1460,1070,11.0,816,30
74,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=240_pos=initial.txt,FCR,20,-400,240,,110,118.384,-270.192,1008.036,770,1160,1460,1070,11.0,816,30
75,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=270_pos=initial.txt,FCR,20,-400,270,,110,152.019,-269.218,962.192,770,1160,1460,1070,11.0,816,30
76,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=300_pos=initial.txt,FCR,20,-400,300,,110,96.963,-360.287,1012.616,770,1160,1460,1070,11.0,816,30
77,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=30_pos=initial.txt,FCR,20,-400,30,,120,352.895,-303.959,1030.168,770,1160,1460,1070,11.0,816,30
78,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=330_pos=initial.txt,FCR,20,-400,330,,117,241.375,-408.173,1028.908,770,1160,1460,1070,11.0,816,30
79,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=60_pos=initial.txt,FCR,20,-400,60,,116,208.277,-251.007,1036.279,770,1160,1460,1070,11.0,816,30
